Ticker,Company,RecommendationKey,RecommendationMean,NumAnalysts,Price,TargetMeanPrice,UpsidePct
ECHO,EchoStar Corporation,strong_buy,1.16667,7.0,88.435,128.42857,45.2
TTWO,"Take-Two Interactive Software, ",strong_buy,1.21429,29.0,237.04,286.89,21.0
FIX,"Comfort Systems USA, Inc.",strong_buy,1.22222,7.0,1696.06,2210.8572,30.4
WYNN,"Wynn Resorts, Limited",strong_buy,1.25,19.0,100.1,132.58421,32.5
SW,Smurfit WestRock plc,strong_buy,1.29412,15.0,48.71,56.43333,15.9
NVDA,NVIDIA Corporation,strong_buy,1.29508,58.0,217.56,302.82758,39.2
DVN,Devon Energy Corporation,strong_buy,1.2963,26.0,48.19,59.57692,23.6
ANET,"Arista Networks, Inc.",strong_buy,1.3,27.0,186.45,241.81519,29.7
AVGO,Broadcom Inc.,strong_buy,1.3125,45.0,362.48,527.88446,45.6
AMZN,"Amazon.com, Inc.",strong_buy,1.31667,60.0,265.84,327.004,23.0
UAL,"United Airlines Holdings, Inc.",strong_buy,1.32,23.0,115.78,162.15218,40.1
DAL,"Delta Air Lines, Inc.",strong_buy,1.32,24.0,83.29,105.52083,26.7
DXCM,"DexCom, Inc.",strong_buy,1.32143,25.0,89.88,94.12,4.7
SPGI,S&P Global Inc.,strong_buy,1.33333,20.0,426.66,516.95,21.2
CRH,CRH PLC,strong_buy,1.35,21.0,94.74,137.96906,45.6
META,"Meta Platforms, Inc.",strong_buy,1.35484,57.0,546.03,754.14246,38.1
MSFT,Microsoft Corporation,strong_buy,1.35714,53.0,484.31,569.5583,17.6
VST,Vistra Corp.,strong_buy,1.36842,18.0,142.7,221.27779,55.1
Q,"Qnity Electronics, Inc.",strong_buy,1.375,8.0,126.04,176.75,40.2
MA,Mastercard Incorporated,strong_buy,1.375,37.0,573.72,667.2973,16.3
V,Visa Inc.,strong_buy,1.375,37.0,365.54,416.20026,13.9
IQV,"IQVIA Holdings, Inc.",strong_buy,1.38095,18.0,249.28,275.16666,10.4
TRMB,Trimble Inc.,strong_buy,1.38462,11.0,59.25,80.09091,35.2
GOOGL,Alphabet Inc.,strong_buy,1.39062,55.0,344.72,427.52,24.0
VRT,"Vertiv Holdings, LLC",strong_buy,1.39286,26.0,261.0,338.15384,29.6
GOOG,Alphabet Inc.,strong_buy,1.39683,14.0,341.7,421.78857,23.4
TJX,"TJX Companies, Inc. (The)",strong_buy,1.40909,20.0,144.5,177.4,22.8
MU,"Micron Technology, Inc.",strong_buy,1.41304,43.0,937.105,1501.9767,60.3
FANG,"Diamondback Energy, Inc.",strong_buy,1.41379,28.0,208.55,232.0357,11.3
WAB,Westinghouse Air Brake Technolo,strong_buy,1.41667,12.0,292.23,329.16666,12.6
MRVL,"Marvell Technology, Inc.",strong_buy,1.4186,40.0,237.27,256.9142,8.3
AIZ,"Assurant, Inc.",strong_buy,1.42857,6.0,278.31,319.0,14.6
WST,"West Pharmaceutical Services, I",strong_buy,1.4375,15.0,352.79,404.73334,14.7
DIS,Walt Disney Company (The),strong_buy,1.4375,31.0,106.93,127.71935,19.4
STX,Seagate Technology Holdings PLC,strong_buy,1.44,23.0,832.56,1125.0,35.1
CDNS,"Cadence Design Systems, Inc.",strong_buy,1.44,26.0,314.98,403.6727,28.2
CVS,CVS Health Corporation,strong_buy,1.44444,25.0,93.65,116.08,24.0
