Ticker,Company,RecommendationKey,RecommendationMean,NumAnalysts,Price,TargetMeanPrice,UpsidePct
ECHO,EchoStar Corporation,strong_buy,1.14286,8,93.14,131.125,40.8
WYNN,"Wynn Resorts, Limited",strong_buy,1.19048,20,87.7,132.005,50.5
FIX,"Comfort Systems USA, Inc.",strong_buy,1.2,8,1690.82,2197.0,29.9
TTWO,"Take-Two Interactive Software, ",strong_buy,1.2069,29,215.47,286.4417,32.9
Q,"Qnity Electronics, Inc.",strong_buy,1.25,8,126.4,176.75,39.8
ANET,"Arista Networks, Inc.",strong_buy,1.25806,28,199.59,241.03607,20.8
AVGO,Broadcom Inc.,strong_buy,1.26,47,361.99,531.8468,46.9
FLEX,Flex Ltd.,strong_buy,1.27273,10,115.78,160.5,38.6
MPWR,"Monolithic Power Systems, Inc.",strong_buy,1.29412,15,1234.46,1839.8,49.0
SW,Smurfit WestRock plc,strong_buy,1.29412,16,43.22,56.84375,31.5
NVDA,NVIDIA Corporation,strong_buy,1.29508,58,218.29,327.17758,49.9
CRH,CRH PLC,strong_buy,1.30435,24,88.55,136.80624,54.5
AMZN,"Amazon.com, Inc.",strong_buy,1.30645,60,256.78,328.1707,27.8
DVN,Devon Energy Corporation,strong_buy,1.31034,28,50.23,59.96429,19.4
DAL,"Delta Air Lines, Inc.",strong_buy,1.32,24,79.91,103.8125,29.9
DXCM,"DexCom, Inc.",strong_buy,1.32143,25,83.03,94.12,13.4
SPGI,S&P Global Inc.,strong_buy,1.33333,20,410.71,520.3,26.7
META,"Meta Platforms, Inc.",strong_buy,1.33871,57,648.03,758.2758,17.0
MU,"Micron Technology, Inc.",strong_buy,1.34694,45,975.26,1513.1111,55.1
VST,Vistra Corp.,strong_buy,1.35,19,148.38,217.42105,46.5
UAL,"United Airlines Holdings, Inc.",strong_buy,1.36,23,109.82,158.54349,44.4
MSFT,Microsoft Corporation,strong_buy,1.36364,52,495.63,572.91516,15.6
GOOGL,Alphabet Inc.,strong_buy,1.36508,54,338.5,428.06668,26.5
GOOG,Alphabet Inc.,strong_buy,1.37097,15,335.45,422.336,25.9
ADI,"Analog Devices, Inc.",strong_buy,1.38235,32,378.78,470.71875,24.3
TRMB,Trimble Inc.,strong_buy,1.38462,11,57.66,80.18182,39.1
CDNS,"Cadence Design Systems, Inc.",strong_buy,1.38462,28,289.37,402.11606,39.0
VRT,"Vertiv Holdings, LLC",strong_buy,1.39286,26,257.06,338.15384,31.5
JBL,Jabil Inc.,strong_buy,1.4,9,318.08,429.55557,35.0
WST,"West Pharmaceutical Services, I",strong_buy,1.41176,16,346.23,405.375,17.1
MRVL,"Marvell Technology, Inc.",strong_buy,1.42222,42,236.1,285.3031,20.8
MA,Mastercard Incorporated,strong_buy,1.425,37,569.19,666.7138,17.1
NOW,"ServiceNow, Inc.",strong_buy,1.42857,46,132.53,143.84042,8.5
IQV,"IQVIA Holdings, Inc.",strong_buy,1.42857,18,261.77,276.27777,5.5
AIZ,"Assurant, Inc.",strong_buy,1.42857,6,282.46,330.0,16.8
WMB,"Williams Companies, Inc. (The)",strong_buy,1.42857,20,72.85,85.4,17.2
DIS,Walt Disney Company (The),strong_buy,1.4375,31,106.55,128.34451,20.5
STX,Seagate Technology Holdings PLC,strong_buy,1.44,23,830.17,1125.0,35.5
CVS,CVS Health Corporation,strong_buy,1.44444,25,94.66,116.28,22.8
XEL,Xcel Energy Inc.,strong_buy,1.44444,17,75.5,91.76471,21.5
V,Visa Inc.,strong_buy,1.45,37,370.45,419.36163,13.2
DLR,"Digital Realty Trust, Inc.",strong_buy,1.45455,31,188.58,223.48387,18.5
GE,GE Aerospace,strong_buy,1.45455,21,323.66,404.90475,25.1
