Ticker,Company,RecommendationKey,RecommendationMean,NumAnalysts,Price,TargetMeanPrice,UpsidePct
ECHO,EchoStar Corporation,strong_buy,1.16667,7.0,92.51,128.42857,38.8
TTWO,"Take-Two Interactive Software, ",strong_buy,1.21429,29.0,241.61,286.89,18.7
WYNN,"Wynn Resorts, Limited",strong_buy,1.25,19.0,102.79,132.58421,29.0
SW,Smurfit WestRock plc,strong_buy,1.29412,15.0,47.81,56.43333,18.0
NVDA,NVIDIA Corporation,strong_buy,1.29508,58.0,225.01,302.82758,34.6
DVN,Devon Energy Corporation,strong_buy,1.2963,26.0,47.57,59.57692,25.2
ANET,"Arista Networks, Inc.",strong_buy,1.3,27.0,201.8,241.81519,19.8
AVGO,Broadcom Inc.,strong_buy,1.3125,45.0,392.43,527.88446,34.5
AMZN,"Amazon.com, Inc.",strong_buy,1.31667,60.0,261.31,327.004,25.1
UAL,"United Airlines Holdings, Inc.",strong_buy,1.32,23.0,122.26,162.15218,32.6
DAL,"Delta Air Lines, Inc.",strong_buy,1.32,24.0,87.59,105.52083,20.5
DXCM,"DexCom, Inc.",strong_buy,1.32143,25.0,88.76,94.12,6.0
SPGI,S&P Global Inc.,strong_buy,1.33333,20.0,410.53,516.95,25.9
CRH,CRH PLC,strong_buy,1.35,21.0,96.05,137.96906,43.6
META,"Meta Platforms, Inc.",strong_buy,1.35484,57.0,568.97,754.14246,32.5
MSFT,Microsoft Corporation,strong_buy,1.35714,53.0,480.35,569.5583,18.6
VST,Vistra Corp.,strong_buy,1.36842,18.0,146.11,221.27779,51.4
MA,Mastercard Incorporated,strong_buy,1.375,37.0,562.26,667.2973,18.7
Q,"Qnity Electronics, Inc.",strong_buy,1.375,8.0,140.76,176.75,25.6
V,Visa Inc.,strong_buy,1.375,37.0,358.84,416.20026,16.0
IQV,"IQVIA Holdings, Inc.",strong_buy,1.38095,18.0,241.24,275.16666,14.1
TRMB,Trimble Inc.,strong_buy,1.38462,11.0,55.69,80.09091,43.8
GOOGL,Alphabet Inc.,strong_buy,1.39062,55.0,344.0,427.52,24.3
VRT,"Vertiv Holdings, LLC",strong_buy,1.39286,26.0,292.43,338.15384,15.6
GOOG,Alphabet Inc.,strong_buy,1.39683,14.0,341.45,421.78857,23.5
TJX,"TJX Companies, Inc. (The)",strong_buy,1.40909,20.0,150.85,177.4,17.6
MU,"Micron Technology, Inc.",strong_buy,1.41304,43.0,1011.75,1501.9767,48.5
FANG,"Diamondback Energy, Inc.",strong_buy,1.41379,28.0,206.29,232.0357,12.5
WAB,Westinghouse Air Brake Technolo,strong_buy,1.41667,12.0,300.65,329.16666,9.5
MRVL,"Marvell Technology, Inc.",strong_buy,1.4186,40.0,234.33,256.9142,9.6
AIZ,"Assurant, Inc.",strong_buy,1.42857,6.0,281.11,319.0,13.5
DIS,Walt Disney Company (The),strong_buy,1.4375,31.0,103.5,127.71935,23.4
WST,"West Pharmaceutical Services, I",strong_buy,1.4375,15.0,346.61,404.73334,16.8
CDNS,"Cadence Design Systems, Inc.",strong_buy,1.44,26.0,323.47,403.6727,24.8
STX,Seagate Technology Holdings PLC,strong_buy,1.44,23.0,994.79,1125.0,13.1
XEL,Xcel Energy Inc.,strong_buy,1.44444,17.0,79.21,92.23529,16.4
CVS,CVS Health Corporation,strong_buy,1.44444,25.0,94.01,116.08,23.5
HWM,Howmet Aerospace Inc.,strong_buy,1.45455,20.0,289.12,335.328,16.0
DLR,"Digital Realty Trust, Inc.",strong_buy,1.45455,31.0,197.91,223.0,12.7
LRCX,Lam Research Corporation,strong_buy,1.45714,31.0,343.84,368.9355,7.3
AMAT,"Applied Materials, Inc.",strong_buy,1.46154,35.0,535.31,641.02856,19.7
HAS,"Hasbro, Inc.",strong_buy,1.46667,14.0,95.05,109.28571,15.0
ICE,Intercontinental Exchange Inc.,strong_buy,1.46667,14.0,154.31,185.92857,20.5
NOW,"ServiceNow, Inc.",strong_buy,1.46939,46.0,117.7,140.5789,19.4
CAH,"Cardinal Health, Inc.",strong_buy,1.47059,15.0,235.66,270.6,14.8
APH,Amphenol Corporation,strong_buy,1.47059,17.0,170.87,191.88235,12.3
EQT,EQT Corporation,strong_buy,1.48,25.0,53.01,67.8,27.9
AMD,"Advanced Micro Devices, Inc.",strong_buy,1.48077,47.0,506.0,612.8383,21.1
AZO,"AutoZone, Inc.",strong_buy,1.48148,23.0,3019.3,3950.5217,30.8
NWSA,News Corporation,strong_buy,1.5,8.0,28.7,35.5375,23.8
MSCI,MSCI Inc.,strong_buy,1.5,17.0,550.68,692.05884,25.7
DDOG,"Datadog, Inc.",strong_buy,1.5,46.0,247.32,285.1802,15.3
ADSK,"Autodesk, Inc.",strong_buy,1.5,34.0,241.64,312.75,29.4
DHR,Danaher Corporation,strong_buy,1.5,23.0,202.63,227.95651,12.5
PWR,"Quanta Services, Inc.",strong_buy,1.5,28.0,722.31,770.0421,6.6
GLW,Corning Incorporated,strong_buy,1.5,15.0,173.21,191.4,10.5
WMB,"Williams Companies, Inc. (The)",strong_buy,1.5,20.0,73.45,85.1,15.9
TKO,"TKO Group Holdings, Inc.",strong_buy,1.5,19.0,195.14,232.47368,19.1
UBER,"Uber Technologies, Inc.",buy,1.52,47.0,74.99,101.50128,35.4
TRGP,"Targa Resources, Inc.",buy,1.52174,21.0,277.94,301.8095,8.6
PCG,Pacific Gas & Electric Co.,buy,1.52941,16.0,17.5,22.78125,30.2
BLK,"BlackRock, Inc.",buy,1.52941,16.0,1147.11,1314.4375,14.6
MCK,McKesson Corporation,buy,1.52941,15.0,859.92,991.4,15.3
EQIX,"Equinix, Inc.",buy,1.53125,29.0,1097.61,1233.5172,12.4
XYZ,"Block, Inc.",buy,1.53333,40.0,80.2,97.975,22.2
TMO,Thermo Fisher Scientific Inc,buy,1.53571,26.0,585.51,631.4231,7.8
BA,Boeing Company (The),buy,1.53571,26.0,225.95,274.84616,21.6
ORLY,"O'Reilly Automotive, Inc.",buy,1.53571,24.0,90.23,108.16667,19.9
EXE,Expand Energy Corporation,buy,1.53846,25.0,94.175,125.52,33.3
CBRE,CBRE Group Inc,buy,1.53846,12.0,147.96,182.33333,23.2
LITE,Lumentum Holdings Inc.,buy,1.54167,24.0,968.9,1148.303,18.5
BAC,Bank of America Corporation,buy,1.54167,22.0,63.89,68.77273,7.6
SNDK,Sandisk Corporation,buy,1.54167,23.0,1786.85,2107.6956,18.0
COF,Capital One Financial Corporati,buy,1.54167,22.0,221.45,257.5909,16.3
AVY,Avery Dennison Corporation,buy,1.54545,10.0,176.62,201.8,14.3
CEG,Constellation Energy Corporatio,buy,1.54545,20.0,278.2,348.454,25.3
ADI,"Analog Devices, Inc.",buy,1.54545,30.0,390.28,457.73334,17.3
BKNG,Booking Holdings Inc. Common St,buy,1.55263,36.0,204.76,237.80556,16.1
BG,Bunge Limited,buy,1.55556,9.0,114.91,141.22221,22.9
AMT,American Tower Corporation (REI,buy,1.56,23.0,172.23,215.43478,25.1
MCHP,Microchip Technology Incorporat,buy,1.56,24.0,80.26,109.20833,36.1
NEM,Newmont Corporation,buy,1.56522,21.0,120.33,132.43857,10.1
COR,"Cencora, Inc.",buy,1.57143,12.0,312.52,372.58334,19.2
WDC,Western Digital Corporation,buy,1.57692,24.0,536.01,664.9167,24.0
SRE,DBA Sempra,buy,1.57895,17.0,85.94,104.61765,21.7
RL,Ralph Lauren Corporation,buy,1.57895,17.0,379.31,446.70587,17.8
GEV,GE Vernova Inc.,buy,1.57895,33.0,1079.0,1239.4622,14.9
BSX,Boston Scientific Corporation,buy,1.58065,29.0,51.43,62.68966,21.9
WMT,Walmart Inc.,buy,1.5814,40.0,114.33,137.925,20.6
DD,"DuPont de Nemours, Inc.",buy,1.58824,16.0,143.07,170.0001,18.8
TER,"Teradyne, Inc.",buy,1.58824,15.0,443.14,449.8,1.5
ORCL,Oracle Corporation,buy,1.59091,41.0,146.65,246.42635,68.0
KKR,KKR & Co. Inc.,buy,1.59091,20.0,108.83,126.526,16.3
UNH,UnitedHealth Group Incorporated,buy,1.59259,26.0,395.62,475.23077,20.1
ABT,Abbott Laboratories,buy,1.59259,25.0,110.37,119.4,8.2
ECL,Ecolab Inc.,buy,1.6,21.0,275.84,324.66666,17.7
PPL,PPL Corporation,buy,1.6,14.0,35.95,41.35714,15.0
APTV,Aptiv PLC,buy,1.6,18.0,50.04,66.61111,33.1
EME,"EMCOR Group, Inc.",buy,1.6,7.0,862.54,1033.2858,19.8
NI,NiSource Inc,buy,1.6,14.0,42.37,50.07143,18.2
SLB,SLB Limited,buy,1.6,29.0,53.86,61.93103,15.0
APP,Applovin Corporation,buy,1.60606,31.0,311.98,546.5806,75.2
VTR,"Ventas, Inc.",buy,1.6087,22.0,91.17,100.45455,10.2
DOV,Dover Corporation,buy,1.61111,18.0,206.47,246.88889,19.6
CFG,"Citizens Financial Group, Inc.",buy,1.61111,17.0,74.31,80.58824,8.4
ETN,"Eaton Corporation, PLC",buy,1.61538,24.0,455.4,476.42792,4.6
VRTX,Vertex Pharmaceuticals Incorpor,buy,1.62069,25.0,515.55,563.12,9.2
NRG,"NRG Energy, Inc.",buy,1.625,16.0,122.37,189.4375,54.8
CCL,Carnival Corporation Ltd.,buy,1.63333,25.0,27.73,35.548,28.2
COHR,Coherent Corp.,buy,1.63636,21.0,351.22,410.76,17.0
DASH,"DoorDash, Inc.",buy,1.63636,42.0,212.72,251.94048,18.4
PANW,"Palo Alto Networks, Inc.",buy,1.63636,50.0,375.76,347.974,-7.4
COP,ConocoPhillips,buy,1.64,24.0,127.56,144.5,13.3
LYV,"Live Nation Entertainment, Inc.",buy,1.64,24.0,184.44,201.95833,9.5
EW,Edwards Lifesciences Corporatio,buy,1.64286,26.0,90.81,100.96154,11.2
MSI,"Motorola Solutions, Inc.",buy,1.64286,11.0,457.08,522.7273,14.4
CMG,"Chipotle Mexican Grill, Inc.",buy,1.64706,32.0,33.76,43.79688,29.7
LHX,"L3Harris Technologies, Inc.",buy,1.64706,11.0,278.38,341.72726,22.8
BALL,Ball Corporation,buy,1.66667,14.0,61.18,72.57143,18.6
LH,Labcorp Holdings Inc.,buy,1.66667,16.0,323.34,337.75,4.5
CPAY,"Corpay, Inc.",buy,1.66667,14.0,407.62,450.64285,10.6
WY,Weyerhaeuser Company,buy,1.66667,11.0,24.08,31.27273,29.9
A,"Agilent Technologies, Inc.",buy,1.66667,19.0,148.45,160.10526,7.9
CI,The Cigna Group,buy,1.66667,24.0,275.33,341.41666,24.0
ABBV,AbbVie Inc.,buy,1.67742,29.0,250.33,276.4138,10.4
HOOD,"Robinhood Markets, Inc.",buy,1.67857,26.0,96.25,120.00769,24.7
SYK,Stryker Corporation,buy,1.67857,25.0,331.68,382.88,15.4
CRM,"Salesforce, Inc.",buy,1.67925,54.0,190.97,242.74352,27.1
PH,Parker-Hannifin Corporation,buy,1.68,23.0,1053.76,1160.9535,10.2
GILD,"Gilead Sciences, Inc.",buy,1.68966,27.0,138.92,157.40741,13.3
FCX,"Freeport-McMoRan, Inc.",buy,1.69565,22.0,68.38,71.72727,4.9
CRWD,"CrowdStrike Holdings, Inc.",buy,1.69811,50.0,213.9,199.55,-6.7
