Ticker,Company,RecommendationKey,RecommendationMean,NumAnalysts,Price,TargetMeanPrice,UpsidePct
TTWO,"Take-Two Interactive Software, ",strong_buy,1.21429,29.0,239.62,286.89,19.7
FIX,"Comfort Systems USA, Inc.",strong_buy,1.22222,7.0,1655.61,2210.8572,33.5
WYNN,"Wynn Resorts, Limited",strong_buy,1.25,19.0,100.28,132.58421,32.2
SW,Smurfit WestRock plc,strong_buy,1.29412,15.0,49.39,56.43333,14.3
NVDA,NVIDIA Corporation,strong_buy,1.29508,58.0,214.72,304.1207,41.6
DVN,Devon Energy Corporation,strong_buy,1.2963,26.0,49.1,59.38462,20.9
ANET,"Arista Networks, Inc.",strong_buy,1.3,27.0,188.65,241.81519,28.2
AMZN,"Amazon.com, Inc.",strong_buy,1.31667,60.0,258.63,326.83734,26.4
DAL,"Delta Air Lines, Inc.",strong_buy,1.32,24.0,82.41,105.3125,27.8
DXCM,"DexCom, Inc.",strong_buy,1.32143,25.0,92.34,94.12,1.9
SPGI,S&P Global Inc.,strong_buy,1.33333,20.0,431.29,516.95,19.9
CRH,CRH PLC,strong_buy,1.33333,22.0,95.07,138.37955,45.6
AVGO,Broadcom Inc.,strong_buy,1.33333,45.0,368.45,527.88446,43.3
META,"Meta Platforms, Inc.",strong_buy,1.35484,57.0,549.9,754.14246,37.1
MSFT,Microsoft Corporation,strong_buy,1.35714,53.0,483.24,569.5583,17.9
GOOGL,Alphabet Inc.,strong_buy,1.35938,54.0,344.82,428.06668,24.1
UAL,"United Airlines Holdings, Inc.",strong_buy,1.36,23.0,113.17,161.84782,43.0
GOOG,Alphabet Inc.,strong_buy,1.36508,15.0,341.75,422.336,23.6
VST,Vistra Corp.,strong_buy,1.36842,18.0,136.21,219.72221,61.3
MU,"Micron Technology, Inc.",strong_buy,1.36957,44.0,966.78,1521.6232,57.4
MA,Mastercard Incorporated,strong_buy,1.375,37.0,580.63,667.2973,14.9
V,Visa Inc.,strong_buy,1.375,37.0,371.04,416.20026,12.2
Q,"Qnity Electronics, Inc.",strong_buy,1.375,8.0,128.88,176.75,37.1
IQV,"IQVIA Holdings, Inc.",strong_buy,1.38095,18.0,259.82,275.16666,5.9
TRMB,Trimble Inc.,strong_buy,1.38462,11.0,60.25,80.18182,33.1
VRT,"Vertiv Holdings, LLC",strong_buy,1.39286,26.0,261.95,338.15384,29.1
TJX,"TJX Companies, Inc. (The)",strong_buy,1.40909,20.0,140.53,174.2,24.0
WAB,Westinghouse Air Brake Technolo,strong_buy,1.41667,12.0,297.57,329.16666,10.6
NOW,"ServiceNow, Inc.",strong_buy,1.42857,46.0,128.48,142.23174,10.7
AIZ,"Assurant, Inc.",strong_buy,1.42857,6.0,284.04,322.33334,13.5
WST,"West Pharmaceutical Services, I",strong_buy,1.4375,15.0,353.08,404.73334,14.6
DIS,Walt Disney Company (The),strong_buy,1.4375,31.0,107.78,127.71935,18.5
CDNS,"Cadence Design Systems, Inc.",strong_buy,1.44,27.0,319.02,403.93927,26.6
STX,Seagate Technology Holdings PLC,strong_buy,1.44,23.0,850.0,1125.0,32.4
MRVL,"Marvell Technology, Inc.",strong_buy,1.44186,40.0,237.04,259.9142,9.6
XEL,Xcel Energy Inc.,strong_buy,1.44444,17.0,76.3,91.94118,20.5
CVS,CVS Health Corporation,strong_buy,1.44444,25.0,93.02,116.08,24.8
HWM,Howmet Aerospace Inc.,strong_buy,1.45455,20.0,271.68,336.628,23.9
GE,GE Aerospace,strong_buy,1.45455,21.0,348.37,404.90475,16.2
ADI,"Analog Devices, Inc.",strong_buy,1.45455,30.0,373.09,466.0,24.9
DLR,"Digital Realty Trust, Inc.",strong_buy,1.45455,31.0,190.62,223.32259,17.2
LRCX,Lam Research Corporation,strong_buy,1.45714,31.0,314.0,371.35483,18.3
AMAT,"Applied Materials, Inc.",strong_buy,1.46154,35.0,492.32,641.02856,30.2
ICE,Intercontinental Exchange Inc.,strong_buy,1.46667,14.0,161.25,185.35715,15.0
